"","LSOA","Density.KM2","Outlets.1000","CHALICE.Density.PWC","CHALICE.Density","KDE","WIMD_Quintile","Morphology","Total","POP_X","POP_Y"
"110","W01000110",0,0,0.13953,0.20916,0.826793909072876,4,"Town and Fringe",1249,248691,361950
"111","W01000111",8.80503,21.81,6.31153,9.42487,1.10023999214172,2,"Town and Fringe",1284,248259,362260
"112","W01000112",0.17316,1.36,0,0.20912,0,2,"Village Hamlet & Isolated Dwellings",1474,249366,353994
"113","W01000113",0.14109,2.57,0,0.7732,0,3,"Village Hamlet & Isolated Dwellings",1556,270494,343604
"114","W01000114",0.05508,7.36,0,0.82555,0,3,"Village Hamlet & Isolated Dwellings",1222,269786,336963
"115","W01000115",0.07163,1.08,0,0.14064,0,3,"Village Hamlet & Isolated Dwellings",1852,260532,367264
"116","W01000116",0.12029,2.05,5.40604,1.71274,0,4,"Town and Fringe",1463,258626,300478
"117","W01000117",5.10204,11.33,6.15054,4.62183,0.179170861840248,2,"Town and Fringe",1324,258407,300857
"118","W01000118",0.15029,5.73,0.3605,0.58029,0,3,"Village Hamlet & Isolated Dwellings",1395,252385,359409
"119","W01000119",1.69492,5.4,2.30995,1.77789,0,4,"Town and Fringe",1852,252324,367277
"120","W01000120",2.55319,2.74,0.85365,1.53324,1.62475144863129,1,"Urban > 10K",2188,295246,378661
"121","W01000121",0.15422,22.68,0,0.88936,0,4,"Village Hamlet & Isolated Dwellings",1058,275691,355248
"122","W01000122",0.09861,5.02,0,0.71365,0,4,"Village Hamlet & Isolated Dwellings",1793,291324,372762
"123","W01000123",0.82305,5.3,3.56214,1.99431,0,3,"Town and Fringe",1510,268238,374647
"124","W01000124",0.21103,9.28,0,0.63881,0,4,"Village Hamlet & Isolated Dwellings",1724,276737,372229
"125","W01000125",2.16535,8.05,1.44799,1.34276,1.71367275714874,4,"Town and Fringe",1366,273549,377180
"126","W01000126",2.38095,1.37,2.33309,2.60007,3.13644194602966,4,"Urban > 10K",1458,287163,378027
"127","W01000127",0,0,0.1475,0.23703,0,2,"Urban > 10K",1154,287904,378402
"128","W01000128",10.81081,3.11,2.00875,2.87123,6.38016700744629,4,"Urban > 10K",1288,287249,378404
"129","W01000129",2.25989,8.01,2.15586,1.45661,2.65392065048218,3,"Town and Fringe",999,277340,378273
"130","W01000130",33.70787,21.61,5.36808,8.59412,13.427342414856,4,"Town and Fringe",1388,277829,377300
"131","W01000131",0.5848,0.79,0.38179,0.54155,3.53190636634827,3,"Town and Fringe",1260,277496,376983
"132","W01000132",55.88235,13.89,14.53714,11.94751,17.0054798126221,2,"Urban > 10K",1368,279494,381882
"133","W01000133",1.1811,1.79,2.12466,2.33192,2.73465037345886,4,"Urban > 10K",1672,279850,381623
"134","W01000134",2.51256,5.7,1.41468,2.89483,0.759501338005066,3,"Town and Fringe",1755,280210,361518
"135","W01000135",0.5848,0.54,0.45814,0.31147,0.53977370262146,5,"Town and Fringe",1850,278370,379992
"136","W01000136",7.14286,4.39,1.52247,1.72565,4.30941534042358,3,"Town and Fringe",1593,278367,379019
"137","W01000137",0.13072,5.56,0,0.45704,0,4,"Village Hamlet & Isolated Dwellings",1258,280452,368295
"138","W01000138",2.35294,2.42,0.4493,1.69708,1.19474637508392,3,"Urban > 10K",1651,286694,377677
"139","W01000139",6,2.2,4.88189,2.97055,7.76146984100342,5,"Urban > 10K",1361,286435,378355
"140","W01000140",0.84034,6.46,0.21115,4.88662,0.725849211215973,2,"Urban > 10K",1238,295280,377104
"141","W01000141",2.12766,0.76,0.94757,0.90432,6.08886241912842,5,"Urban > 10K",1323,294052,377229
"142","W01000142",0.36364,0.68,0.37332,0.63455,0.263611555099487,5,"Urban > 10K",1470,294328,376831
"143","W01000143",12.5,1.5,4.58417,4.0547,11.9364557266235,2,"Urban > 10K",1331,285055,378554
"144","W01000144",12,6.7,2.41996,4.17668,7.33893299102783,1,"Urban > 10K",1343,285351,378718
"145","W01000145",0,0,0.31936,0.75638,0,2,"Urban > 10K",1050,285512,378021
"146","W01000146",81.14754,46.09,41.7582,42.36842,65.8589935302734,2,"Urban > 10K",2148,277849,382480
"147","W01000147",1.70732,5.18,4.37463,8.01105,0.462536871433258,3,"Urban > 10K",1352,277362,382376
"148","W01000148",2.38095,3.11,1.81634,2.28082,1.92101967334747,3,"Town and Fringe",964,279905,362120
"149","W01000149",7.69231,4.42,3.83222,2.17927,3.98166060447693,1,"Urban > 10K",1356,298566,380180
"150","W01000150",0,0,0,0.19046,0,3,"Urban > 10K",1327,299269,379376
"151","W01000151",3.26087,2.38,0.11133,0.12887,5.83188772201538,1,"Urban > 10K",1261,298933,379557
"152","W01000152",8.47458,3.89,2.27187,2.18428,4.44112062454224,2,"Urban > 10K",1286,299129,380415
"153","W01000153",1.37255,5.08,1.059,1.52432,0.443723320960999,4,"Urban > 10K",1379,290721,377887
"154","W01000154",0.9434,0.78,0.2301,0.72286,0.49659788608551,4,"Urban > 10K",1274,282983,379989
"155","W01000155",26.08696,8.49,3.59958,4.48701,12.5869979858398,4,"Urban > 10K",1413,283970,380178
"156","W01000156",11.42857,3.07,5.21431,5.76804,7.78294849395752,3,"Urban > 10K",1305,283876,380969
"157","W01000157",13.15789,4.26,1.94984,3.36204,11.3975582122803,2,"Urban > 10K",1174,283646,380763
"158","W01000158",5.95238,3.45,2.45439,1.77137,6.23336982727051,5,"Urban > 10K",1451,283216,380482
"159","W01000159",0.05649,5.65,0,0.43926,0,4,"Village Hamlet & Isolated Dwellings",1239,287316,362445
"160","W01000160",1.50754,3.64,1.40049,1.27085,2.08904576301575,4,"Town and Fringe",825,280527,376028
"161","W01000161",0.06468,0.95,0.21905,0.39301,0,5,"Town and Fringe",1048,280424,375428
"162","W01000162",0.03964,3.25,0,0.33426,0,3,"Village Hamlet & Isolated Dwellings",1540,296646,366359
"163","W01000163",0.32468,0.97,0,0.10687,0.695165038108826,1,"Urban > 10K",1034,288527,377849
"164","W01000164",0.3876,0.89,0.8097,0.55016,0.519741237163544,3,"Urban > 10K",1121,289719,377395
"165","W01000165",2.40964,1.2,0.1512,0.51097,6.63571214675903,5,"Town and Fringe",1673,279046,378580
"166","W01000166",1.23457,1.41,1.32485,1.52472,0.685124754905701,3,"Town and Fringe",1423,279547,378406
"167","W01000167",1.06762,1.89,1.31233,0.80751,2.03744339942932,2,"Urban > 10K",1589,282711,378772
"168","W01000168",5.26316,2.5,2.76578,3.57205,1.12487876415253,2,"Urban > 10K",1599,277723,381451
"169","W01000169",85.10638,23.98,17.81051,20.66296,87.7510833740234,2,"Urban > 10K",1668,278105,381963
"170","W01000170",0.36585,1.9,0.77432,1.06126,0.354719072580338,4,"Town and Fringe",1577,268718,374843
"171","W01000171",0.5148,2.87,2.45899,1.28706,0.129459798336029,3,"Town and Fringe",1392,272091,376351
"172","W01000172",0.83682,1.92,0.97775,0.9716,0.506816864013672,1,"Town and Fringe",1044,271403,376150
"173","W01000173",1.01868,4.7,0,1.02037,0.184892684221268,5,"Town and Fringe",1277,281426,380848
"174","W01000174",2.5641,0.7,2.27679,2.04041,6.57644605636597,5,"Town and Fringe",1427,282034,381406
"175","W01000175",3.40136,3.48,1.59272,1.43306,3.22936058044434,5,"Town and Fringe",1436,282151,381428
"176","W01000176",20.28986,9.82,7.88855,6.26951,13.2334499359131,2,"Town and Fringe",1426,279893,377926
"177","W01000177",0.46296,0.95,0.47062,0.9342,0.003853196511045,4,"Town and Fringe",1058,280358,378105
"178","W01000178",20.63492,7.87,3.24369,5.05766,14.4033870697021,1,"Urban > 10K",1651,294787,377901
"179","W01000179",0.98039,0.68,0.24008,1.0176,0.144331336021423,4,"Urban > 10K",1464,294043,377985
"180","W01000180",0.64935,1.47,1.06356,0.70714,1.75893425941467,5,"Urban > 10K",1359,284427,378176
"181","W01000181",3.63636,1.64,0.73872,0.86697,2.62275266647339,5,"Urban > 10K",1218,284221,378046
"182","W01000182",13.72549,3.82,4.43332,4.3052,8.50277137756348,1,"Urban > 10K",1832,284612,379321
"183","W01000183",3.8961,2.11,2.2258,2.59972,1.92473149299622,5,"Urban > 10K",1424,284165,379232
"184","W01000184",3.35097,8.62,0.76701,2.11746,0.302592217922211,1,"Urban > 10K",2205,297611,379168
"185","W01000185",0.17055,8.38,0,1.34446,0,3,"Village Hamlet & Isolated Dwellings",1074,277569,364208
"186","W01000186",45.61404,16.25,10.30652,11.4491,42.6006774902344,2,"Urban > 10K",1600,278797,381777
"187","W01000187",5.26316,4.01,1.32368,2.0967,6.40954303741455,1,"Urban > 10K",1248,278427,381209
"188","W01000188",0,0,0.46157,0.84058,1.78239595890045,4,"Urban > 10K",1540,278949,381107
"189","W01000189",0.07906,10.81,0,0.5467,0,3,"Village Hamlet & Isolated Dwellings",1295,280768,353049
"190","W01000190",0.06195,6.37,0,0.68725,0.714809656143188,4,"Village Hamlet & Isolated Dwellings",1255,296604,347665
"191","W01000191",0.41992,3.8,1.54487,0.86085,0.605772435665131,3,"Town and Fringe",1841,299730,375799
"192","W01000192",0.12868,7.66,0,0.73899,0,4,"Village Hamlet & Isolated Dwellings",914,312125,343477
"193","W01000193",0.72751,9.88,0.10589,2.11741,0.216925203800201,3,"Village Hamlet & Isolated Dwellings",1113,307009,343768
"194","W01000194",14.95327,8.87,13.34284,8.03502,17.7685050964355,3,"Town and Fringe",1804,305244,366167
"195","W01000195",2.15054,1.65,1.33929,0.84006,1.89443063735962,5,"Town and Fringe",1213,306571,366043
"196","W01000196",3.24324,4.8,2.09556,2.10357,1.29622197151184,5,"Town and Fringe",1250,306057,366920
"197","W01000197",0.06831,0.77,1.05478,0.9368,0,5,"Town and Fringe",1307,306264,366671
"198","W01000198",4.7619,0.86,5.32371,3.94598,12.1753330230713,1,"Town and Fringe",1158,304772,366238
"199","W01000199",0.40416,4.82,0,1.98036,0,3,"Village Hamlet & Isolated Dwellings",1452,303580,366942
"200","W01000200",0,0,0.77422,0.61375,1.64162194728851,4,"Urban > 10K",1113,305987,378809
"201","W01000201",0.9311,3.86,0.86917,1.04929,0.73187518119812,3,"Urban > 10K",1296,305630,379630
"202","W01000202",0.0543,2.86,0.41945,0.22447,0,4,"Village Hamlet & Isolated Dwellings",1398,308052,352417
"203","W01000203",0.18729,7.86,0,0.45212,0.209172889590263,5,"Village Hamlet & Isolated Dwellings",2036,319605,357035
"204","W01000204",0.14099,3.13,0,0.25233,0,5,"Village Hamlet & Isolated Dwellings",1278,313683,360799
"205","W01000205",0.08654,8,0,1.47123,0,4,"Village Hamlet & Isolated Dwellings",1000,304428,338983
"206","W01000206",0.19548,4.95,0,1.02304,4.48140239715576,4,"Village Hamlet & Isolated Dwellings",1819,310808,364246
"207","W01000207",0.04276,2.12,0,0.2272,0,4,"Village Hamlet & Isolated Dwellings",1889,312333,351130
"208","W01000208",0.73243,27.49,0.23451,8.93988,0,3,"Town and Fringe",1164,320481,343267
"209","W01000209",1.25,2.99,8.25943,4.87315,6.42503643035889,4,"Town and Fringe",1338,321931,341865
"210","W01000210",0.67822,7.08,6.34679,6.60279,1.19669389724731,5,"Town and Fringe",1271,321937,341713
"211","W01000211",0.04507,3.17,0,0.22535,0,4,"Village Hamlet & Isolated Dwellings",1576,305478,361040
"212","W01000212",2.27273,1.04,2.50924,1.72281,6.8505334854126,5,"Urban > 10K",1919,306583,382085
"213","W01000213",17.74194,9.65,6.2545,6.70563,15.5964441299438,1,"Urban > 10K",1140,306460,382553
"214","W01000214",6.36364,12.38,3.00721,3.01149,1.03078091144562,3,"Urban > 10K",1131,306677,383444
"215","W01000215",1.92308,0.75,0.91235,2.42205,7.68411731719971,5,"Urban > 10K",1336,307328,382691
"216","W01000216",2.71186,6.61,5.16573,5.38332,0.871175229549408,3,"Urban > 10K",1211,306928,383001
"217","W01000217",4.40252,3.97,2.49876,1.96554,6.42897701263428,3,"Urban > 10K",1763,306031,380919
"218","W01000218",10.41667,3.41,2.37072,3.14616,13.8429937362671,3,"Urban > 10K",1467,306039,383208
"219","W01000219",4.83871,1.4,1.07816,1.13591,3.51664900779724,2,"Urban > 10K",2140,305462,382951
"220","W01000220",2.63158,1.3,0.98543,1.1748,3.31253266334534,2,"Urban > 10K",1538,304430,382596
"221","W01000221",7.14286,1.69,1.0163,0.95431,1.8322526216507,2,"Urban > 10K",1184,305452,381909
"222","W01000222",2.10526,1.34,0.47084,0.48887,2.29036593437195,3,"Urban > 10K",1496,305576,382245
"223","W01000223",0.84986,7.56,0,0.27376,0.983276128768921,4,"Town and Fringe",1190,302758,379855
"224","W01000224",0.75188,0.81,0.71008,1.17423,2.78405785560608,3,"Town and Fringe",1228,302745,378280
"225","W01000225",3.97727,5.45,5.70361,2.82989,1.82833468914032,3,"Town and Fringe",1284,302355,378188
"226","W01000226",5.88235,3.37,2.95059,1.8422,1.11804497241974,2,"Urban > 10K",1485,302371,382181
"227","W01000227",5.88235,1.46,1.49856,1.84881,6.78128862380982,3,"Urban > 10K",1367,301838,381914
"228","W01000228",9.80392,3.59,5.80096,8.58516,0.6353679895401,1,"Urban > 10K",1393,301317,381779
"229","W01000229",5,1.39,0.46763,1.02651,3.67811799049377,2,"Urban > 10K",1441,302498,380196
"230","W01000230",9.30233,2.26,0.48616,1.28717,5.56765365600586,4,"Urban > 10K",1770,301885,380308
"231","W01000231",8.57143,2.4,0.50951,2.37072,8.27299022674561,2,"Urban > 10K",1249,301881,381500
"232","W01000232",0,0,0.53868,0.60437,2.39772224426269,3,"Urban > 10K",1494,302646,381251
"233","W01000233",0,0,1.65292,1.15791,5.55937528610229,3,"Urban > 10K",1105,302230,380737
"234","W01000234",3.125,1.6,0.90052,0.94616,1.49099349975586,1,"Urban > 10K",1253,302607,380775
"235","W01000235",3.57143,0.91,0.4198,0.44068,3.66006541252136,4,"Urban > 10K",1098,302644,381688
"236","W01000236",9.80392,3.11,2.80517,5.86696,12.0800676345825,1,"Urban > 10K",1606,301290,380849
"237","W01000237",2.17391,1.39,0.14965,1.27415,2.89959526062012,1,"Urban > 10K",1437,300707,380600
"238","W01000238",12.5,3.26,4.1147,6.05451,13.1448707580566,2,"Urban > 10K",1533,301607,381139
"239","W01000239",36.66667,6.51,18.90746,15.66031,0.013348721899092,1,"Urban > 10K",1690,300398,381132
"240","W01000240",169.69697,38.12,40.13333,27.06915,66.8764801025391,1,"Urban > 10K",1469,300778,381316
"241","W01000241",15.55556,6.22,10.21537,7.15137,10.4783525466919,1,"Urban > 10K",1125,300204,380852
"242","W01000242",3.54331,5.63,3.79588,4.47886,5.85817718505859,4,"Town and Fringe",1598,311779,358211
"243","W01000243",6.75241,13.29,9.02041,6.57646,7.20330333709717,5,"Town and Fringe",1580,312611,358364
"244","W01000244",0,0,0.40867,0.80822,0,5,"Town and Fringe",1415,313062,357724
"245","W01000245",3.26975,8.1,3.50494,2.72504,0.384775996208191,5,"Town and Fringe",1481,303872,374272
"246","W01000246",2.15827,3.92,1.56899,1.9473,2.48736643791199,2,"Town and Fringe",1532,303219,374254
"247","W01000247",0.11755,1.78,0,0.38365,0,4,"Village Hamlet & Isolated Dwellings",1687,304010,371399
"248","W01000248",0.15576,5.08,0,0.16112,2.516068662e-06,4,"Village Hamlet & Isolated Dwellings",1377,307766,374011
"249","W01000249",2.12766,0.95,1.06619,1.13693,2.45979976654053,5,"Urban > 10K",1052,326158,364330
"250","W01000250",1.2945,3.11,1.86902,1.42629,0.266332983970642,5,"Urban > 10K",1288,326092,363839
"251","W01000251",4.61538,2.24,1.91178,2.10077,6.05313920974732,4,"Urban > 10K",1337,330157,366600
